User Input,Chatbot Response,Timestamp
hello,Hi there,2024-09-10 01:21:51
how are you ,My purpose is to assist you,2024-09-10 01:21:57
weather ,"I'm sorry, I cannot provide real-time weather information.",2024-09-10 01:22:20
How do I create a budget,"To make a budget, start by tracking your income and expenses. Then, allocate your income towards essential expenses like rent, food, and bills. Next, allocate some of your income towards savings and debt repayment. Finally, allocate the remainder of your income towards discretionary expenses like entertainment and hobbies.",2024-09-10 01:22:30
Today is a nice weather,"I'm sorry, I cannot provide real-time weather information.",2024-10-03 08:29:52
How's the weather today,"I'm sorry, I cannot provide real-time weather information.",2024-10-03 08:30:47
Hi,Hello,2024-10-03 08:30:56
hi,Nothing much,2024-12-05 17:57:54
what is your name?,I am a chatbot,2024-12-05 17:58:06
do you know bengaluru,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2024-12-05 17:58:22
do you know India?,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2024-12-05 17:58:42
good moring,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2024-12-05 18:00:24
hi,"I'm fine, thank you",2024-12-05 18:00:37
Hi,"I'm fine, thank you",2024-12-05 18:01:29
Hi,"I'm fine, thank you",2024-12-05 18:14:18
hello,Hello,2024-12-05 18:20:20
how to make notes,"Mindfulness techniques include meditation, deep breathing, body scanning, and mindful eating.",2024-12-05 18:20:50
